"CALL","QSO_DATE","TIME_ON","TIME_OFF","BAND","MODE","RST_SENT","RST_RCVD","QSL_SENT","QSL_SENT_VIA","APP_EQSL_AG","GRIDSQUARE","STATION_CALLSIGN","FREQ","CONTEST_ID","FREQ_RX","OPERATOR","CQZ","STX","APP_N1MM_POINTS","APP_N1MM_RADIO_NR","APP_N1MM_CONTINENT","APP_N1MM_RUN1RUN2","APP_N1MM_RADIOINTERFACED","APP_N1MM_ISORIGINAL","APP_N1MM_NETBIOSNAME","APP_N1MM_ISRUNQSO","APP_N1MM_ID","APP_N1MM_CLAIMEDQSO","SWL","QSLMSG_INTL","QSLMSG","TX_PWR"
"ZA/IK2RLM","20191129","1135",,"20M","FT8","-03","","Y","E","Y","JN91VH",,,,,,,,,,,,,,,,,,,,,
"VA3UL","20191129","1323",,"17M","FT8","-07","","Y","E","Y","FN03ie",,,,,,,,,,,,,,,,,,,,,
"YU1WAT","20191129","1746",,"80M","MFSK","-05","","Y","E","Y","KN04RI",,,,,,,,,,,,,,,,,,,,,
"EA30227FD","20191129","1748",,"80M","MFSK","-02","","Y","E",,"jn01ug",,,,,,,,,,,,,,,,,,,,"Heard in 3577.1, From Locator JN01ug. Could I please eQSL if my SWL report is correct. Thank you 73",
"IZ3VCN","20191129","1811",,"80M","MFSK","-04","","Y","E",,"jn66aj",,,,,,,,,,,,,,,,,,,,,
"IT9PKO","20191129","1815",,"80M","FT8","-07","","Y","E","Y","JM76JS",,,,,,,,,,,,,,,,,,,,,
"LA8OOA","20191130","1108",,"12M","FT8"," 12","","Y","E","Y","JO28uu",,,,,,,,,,,,,,,,,,,,,
"DL50AMSAT","20191130","1108",,"12M","FT8","+14","","Y","E","Y","JN38XC",,,,,,,,,,,,,,,,,,,,,
"PG7V","20191130","1114",,"12M","FT8","-08","","Y","E","Y","JO22",,,,,,,,,,,,,,,,,,,,"QSL also via LoTW, Clublog, Hamlog.ru. No Bureau",
"SP9DHY","20191130","1122",,"12M","FT8","+04","","Y","E",,"JO90HQ",,,,,,,,,,,,,,,,,,,,,
"LY3BES","20191130","1141",,"20M","FT8","-01","","Y","E","Y","KO16XA",,,,,,,,,,,,,,,,,,,,,
"SM2OTU","20191130","1143",,"20M","FT8","+04","","Y","E","Y","KP16OR",,,,,,,,,,,,,,,,,,,,"Thanks for QSO. 73 de Conny",
"OK2APY","20191130","1724",,"30M","FT8","-08","","Y","E","Y","JN89hf",,,,,,,,,,,,,,,,,,,,"3 point on WOTRA AWARD Thank you fer QSO 73 @ 88",
"OE6JVE","20191130","1744",,"80M","MFSK"," 03","","Y","E","Y","JN76SQ",,,,,,,,,,,,,,,,,,,,"FT4 Sent:  03 Rcvd:  03",
"YL2GJX","20191130","1746",,"80M","MFSK","-02","","Y","E","Y",,,,,,,,,,,,,,,,,,,,,,
"UR9QQ","20191130","1748",,"80M","RTTY","-02","","Y","E","Y","KN77MU",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"S55VN","20191201","1047",,"20M","FT8","-07","","Y","E","Y","JN76HC",,,,,,,,,,,,,,,,,,,,,
"NL8992","20191201","1053",,"6m","FT8","-6 dB","","Y","E","Y","JO32fl",,,,,,,,,,,,,,,,,,,,"Wkd: PE1NPS G3PXT.  Software WSJT-X 2.1.0.  Ant 10 m HB9CV.",
"PE1NPS","20191201","1053",,"6M","FT8","-03","","Y","E","Y","JO22",,,,,,,,,,,,,,,,,,,,,
"G3PXT","20191201","1054",,"6M","FT8","-17","","Y","E","Y","JO02pp",,,,,,,,,,,,,,,,,,,,,
"ES4IN","20191201","1105",,"10M","FT8","+02","","Y","E","Y","KO29XG",,,,,,,,,,,,,,,,,,,,,
"ES4IN","20191201","1105",,"10M","FT8","+02","","Y","E","Y","KO29XG",,,,,,,,,,,,,,,,,,,,,
"EB3TC","20191201","1108",,"12M","FT8","-02","","Y","E","Y","JN01XL",,,,,,,,,,,,,,,,,,,,"JN01XL <FT8> JO22MP 73 from Catalonia ||*||",
"T77BL","20191201","1117",,"15M","FT8","+10","","Y","E","Y","jn63fw",,,,,,,,,,,,,,,,,,,,,
"VK3BOB","20191201","1123",,"15M","FT8","-22","","Y","E","Y","QF22mc",,,,,,,,,,,,,,,,,,,,"Thanks for contact,  73  Bob",
"HK3UA","20191201","1214",,"20M","FT8","-12","","Y","E","Y","FJ24WP",,,,,,,,,,,,,,,,,,,,,
"RW1C","20191201","1253",,"40M","CW","599","","Y","E","Y","KO49xt",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"OZ4TX","20191203","1757",,"20M","FT8","-08","","Y","E","Y","JO55UR",,,,,,,,,,,,,,,,,,,,,
"DK9LO","20191203","1758",,"20m","FT8","-08","","Y","E","Y","JO44TU",,,,,,,,,,,,,,,,,,,,"SWL-Report: wkd oz4tc FT-891/Ind.Whip Kiel JO54ch 73/55! Klaus",
"OK1UU","20191203","1810",,"20M","FT8","-10","","Y","E","Y","JO70ea",,,,,,,,,,,,,,,,,,,,,
"R6H-212","20191203","1820",,"20M","FT8","-15","","Y","E","Y","LN05UJ",,,,,,,,,,,,,,,,,,,,,
"OK1DO","20191206","1505",,"17M","FT8","-06","","Y","E","Y","JO60JD",,,,,,,,,,,,,,,,,,,,,
"4Z5AV","20191207","1040",,"15M","FT8","-18","","Y","E","Y","KM71jg",,,,,,,,,,,,,,,,,,,,,
"PA3AIM","20191207","1114",,"20M","FT8","-17","","Y","E","Y","JO22HL",,,,,,,,,,,,,,,,,,,,,
"ES3AT","20191207","1734",,"20M","FT8","-04","","Y","E","Y","KO18UO",,,,,,,,,,,,,,,,,,,,,
"KC3KFW","20191207","1745",,"20M","FT8","-08","","Y","E","Y","FN00pc",,,,,,,,,,,,,,,,,,,,,
"OH2FQV","20191207","1749",,"20M","FT8","-15","","Y","E","Y","KP20MF",,,,,,,,,,,,,,,,,,,,,
"AI0Y/9","20191207","1752",,"20M","FT8","-19","","Y","E","Y","EN41ti",,,,,,,,,,,,,,,,,,,,,
"SP9DHY","20191207","1755",,"20M","FT8","+02","","Y","E",,"JO90HQ",,,,,,,,,,,,,,,,,,,,,
"R1BFJ","20191207","1758",,"20M","FT8","-15","","Y","E",,"KO58",,,,,,,,,,,,,,,,,,,,,
"K6JDC","20191207","1806",,"20M","FT8","-10","","Y","E","Y","FM07vx",,,,,,,,,,,,,,,,,,,,,
"KJ4GK","20191207","1820",,"20M","FT8","-18","","Y","E","Y","EM83ds",,,,,,,,,,,,,,,,,,,,,
"W0JRJ","20191207","1835",,"20M","FT8","-05","","Y","E","Y","FM18np",,,,,,,,,,,,,,,,,,,,,
"KA8G","20191207","1836",,"20M","FT8","-07","","Y","E","Y","EN80wc",,,,,,,,,,,,,,,,,,,,,
"PQ8VA","20191208","1102",,"20M","MFSK","-11","","Y","E","Y","GJ40lc",,,,,,,,,,,,,,,,,,,,,
"OE5ENL","20191208","1736",,"20M","FT8","-14","","Y","E",,"JN68RB",,,,,,,,,,,,,,,,,,,,,
"HA7JIV","20191208","1742",,"20M","FT8","-20","","Y","E","Y","JN97QL",,,,,,,,,,,,,,,,,,,,,
"C31CA","20191208","1749",,"20M","FT8","+09","","Y","E","Y","JN02SN",,,,,,,,,,,,,,,,,,,,,
"S589PMC","20191208","1807",,"80M","CW","599","","Y","E",,"JN76NM",,,"DXPEDITION",,,,,,,,,,,,,,,,,,
"IS0FWY","20191208","1831",,"80M","FT8","-05","","Y","E",,"JM49LH",,,,,,,,,,,,,,,,,,,,,
"S589PMC","20191208","1836",,"80M","FT8","-13","","Y","E",,"JN76NM",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"VK6APK","20191214","0955",,"15M","FT8","-10","","Y","E","Y","of76uu",,,,,,,,,,,,,,,,,,,,,
"A45XR","20191214","1017",,"15M","FT8","-07","","Y","E","Y","LL93do",,,,,,,,,,,,,,,,,,,,,
"SV1ONU","20191214","1023",,"15M","FT8","-07","","Y","E","Y","KM18va",,,,,,,,,,,,,,,,,,,,,
"AO2XMA","20191214","1128",,"40M","CW","599","","Y","E","Y","IN83mg",,,"DXPEDITION",,,,,,,,,,,,,,,,,,"100.0000"
"CU3AT","20191215","1008",,"20M","FT8"," 06","","Y","E",,"hm68jp",,,,,,,,,,,,,,,,,,,,,
"LA4BHA","20191215","1017",,"20M","FT8","-08","","Y","E","Y","jp77qg",,,,,,,,,,,,,,,,,,,,"FT8  Sent: -08  Rcvd: -09",
"K6JDC","20191215","1048",,"40M","FT8","-08","","Y","E","Y","FM07vx",,,,,,,,,,,,,,,,,,,,,
"F6CEE","20191215","1101",,"15M","FT8","-05","","Y","E","Y","IN94QT",,,,,,,,,,,,,,,,,,,,,
"EA9AF","20191215","1133",,"17M","FT8","-05","","Y","E","Y","IM75IV",,,,,,,,,,,,,,,,,,,,,
"LX1HD","20191215","1734",,"80M","FT8","-01","","Y","E","Y","JN39AQ",,,,,,,,,,,,,,,,,,,,,
"E7TESANJ","20191215","1746",,"40M","CW","599","","Y","E","Y","JN84xp",,,,,,,,,,,,,,,,,,,,,
"E75FM","20191215","1831",,"40M","MFSK","-15","","Y","E","Y","JN93EU",,,,,,,,,,,,,,,,,,,,,
"ER1PB","20191215","1833",,"40M","MFSK","-14","","Y","E","Y",,,,,,,,,,,,,,,,,,,,,,
"ER5DX","20191218","1742",,"40M","FT8","-10","","Y","E","Y","KN46JB",,,,,,,,,,,,,,,,,,,,,
"EA9BO","20191218","1749",,"40M","FT8","-04","","Y","E","Y","im75iv",,,,,,,,,,,,,,,,,,,,,
"EA6TS","20191220","1014",,"20M","FT8","+00","","Y","E","Y","JM29cu",,,,,,,,,,,,,,,,,,,,,
"Z35T","20191220","1016",,"20M","FT8","+04","","Y","E","Y","KN11CS",,,,,,,,,,,,,,,,,,,,,
"UA1WA","20191220","1021",,"20M","FT8","-08","","Y","E","Y","KO47DT",,,,,,,,,,,,,,,,,,,,,
"UA1QDZ","20191220","1025",,"20M","FT8"," 05","","Y","E","Y","KO99WF",,,,,,,,,,,,,,,,,,,,,
"EU1WW","20191220","1027",,"30M","FT8","599","","Y","E","Y","ko33sv",,,,,,,,,,,,,,,,,,,,,
"CN8AM","20191220","1032",,"30M","FT8","-01","","Y","E","Y","IM63HQ",,,,,,,,,,,,,,,,,,,,,
"SP2EWQ","20191220","1040",,"30M","FT8","-06","","Y","E","Y","JO93fn",,,,,,,,,,,,,,,,,,,,,
"PA3DJY","20191220","1044",,"30M","FT8","-04","","Y","E","Y","JO22MO",,,,,,,,,,,,,,,,,,,,,
"IZ8DBJ","20191220","1045",,"30M","FT8","-11","","Y","E","Y","Jn70at",,,,,,,,,,,,,,,,,,,,,
"R2EA","20191220","1215",,"20M","FT8","02","","Y","E","Y","KO82ax",,,,,,,,,,,,,,,,,,,,"r2ea",
"Z35T","20191220","1223",,"30M","FT8","+03","","Y","E","Y","KN11CS",,,,,,,,,,,,,,,,,,,,,
"TA7K","20191221","1036",,"17M","FT8","-07","","Y","E",,"KN90UX",,,,,,,,,,,,,,,,,,,,,
"TA7K","20191221","1037",,"17M","FT8","-07","","Y","E",,"KN90UX",,,,,,,,,,,,,,,,,,,,,
"ER5DX","20191221","1052",,"17M","FT8","-11","","Y","E","Y","KN46JB",,,,,,,,,,,,,,,,,,,,,
"OD5PY","20191221","1056",,"17M","FT8","-18","","Y","E","Y","KM73su",,,,,,,,,,,,,,,,,,,,,
"ON1AEY","20191221","1113",,"30M","FT8","-08","","Y","E","Y","JO11TA",,,,,,,,,,,,,,,,,,,,,
"KP3H","20191221","1330",,"30M","FT8","599","","Y","E","Y","fk78be",,,,,,,,,,,,,,,,,,,,,
"SV5AZK","20191222","1033",,"17M","FT8","-16","","Y","E","Y","KM46CJ",,,,,,,,,,,,,,,,,,,,,
"SV5AZK","20191222","1033",,"17M","FT8","-16","","Y","E","Y","KM46CJ",,,,,,,,,,,,,,,,,,,,,
"MI0LLG","20191222","1035",,"17M","FT8","-13","","Y","E","Y","IO65re",,,,,,,,,,,,,,,,,,,,,
"OZ1IKY","20191222","1050",,"30M","FT8","-03","","Y","E","Y","jo65gp",,,,,,,,,,,,,,,,,,,,,
"VA3SF","20191222","1302",,"20M","FT8","-05","","Y","E","Y","FN03ht",,,,,,,,,,,,,,,,,,,,"Thanks for the QSO  73 de Steve",
"U1BD","20191222","1303",,"20M","FT8","-02","","Y","E","Y","KO59fx",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"MI0SLE","20191223","1030",,"80M","FT8","-03","","Y","E",,"IO64RW",,,,,,,,,,,,,,,,,,,,,
"GJ0KYZ","20191224","0925",,"40M","FT8","13","","Y","E","Y","IN89WF",,,,,,,,,,,,,,,,,,,,,
"OD5ZZ","20191224","0932",,"20M","MFSK","-02","","Y","E","Y","km74wk",,,,,,,,,,,,,,,,,,,,,
"9Y4DG","20191224","1345",,"17M","FT8","-14","","Y","E","Y","FK90GF",,,,,,,,,,,,,,,,,,,,,
"ES5EP","20191225","1025",,"17M","FT8","-06","","Y","E","Y","KO38nm",,,,,,,,,,,,,,,,,,,,,
"MM0XXW","20191225","1038",,"30M","FT8","-14","","Y","E","Y","IO85JX",,,,,,,,,,,,,,,,,,,,,
"YB1MIG","20191225","1052",,"15M","FT8","599","","Y","E",,"OI32SX",,,,,,,,,,,,,,,,,,,,,
"YG9DFK","20191225","1055",,"15M","FT8","-13","","Y","E","Y","OI71nl",,,,,,,,,,,,,,,,,,,,,
"VK3FN","20191225","1143",,"17M","FT8","-16","","Y","E","Y","QF22le",,,,,,,,,,,,,,,,,,,,,
"YV5KAJ","20191225","1221",,"20M","FT8","-10","","Y","E","Y","FK60NL",,,,,,,,,,,,,,,,,,,,,
"LA1PHA","20191225","1233",,"40M","FT8","-03","","Y","E","Y","JP76bh",,,,,,,,,,,,,,,,,,,,,
"UR3CFC","20191226","1338",,"20M","FT8","-02","","Y","E",,"KN58cs",,,,,,,,,,,,,,,,,,,,,
"PV8ABC","20191226","1342",,"15M","FT8","599","","Y","E","Y","FJ92PT",,,,,,,,,,,,,,,,,,,,"FT8  Sent: -15  Rcvd: -12",
"VK4FB","20191227","0912",,"20M","FT8","-08","","Y","E","Y","QG62NI",,,,,,,,,,,,,,,,,,,,,"30.0000"
"LA1PHA","20191227","0924",,"80M","FT8","-09","","Y","E","Y","JP66mf",,,,,,,,,,,,,,,,,,,,,
"DO1MDO","20191227","0928",,"80M","FT8","-01","","Y","E",,"JO50NO",,,,,,,,,,,,,,,,,,,,,
"DO2AK","20191227","0932",,"80M","FT8","+02","","Y","E","Y","JO61UB",,,,,,,,,,,,,,,,,,,,,
"LB8OH","20191227","0932",,"80M","FT8","+01","","Y","E","Y","JP20vl",,,,,,,,,,,,,,,,,,,,,"0.0000"
"DO2AK","20191227","0934",,"80M","FT8","+02","","Y","E","Y","JO61UB",,,,,,,,,,,,,,,,,,,,,
"4L1R","20191228","1113",,"17M","FT8","-11","","Y","E",,"LN02td",,,,,,,,,,,,,,,,,,,,,
"OZ2PJ","20191228","1756",,"10M","FT8","-01","","Y","E","Y","JO65ER",,,,,,,,,,,,,,,,,,,,,
"SP2HCQ","20191228","1758",,"10M","FT8"," 16","","Y","E","Y","JO94co",,,,,,,,,,,,,,,,,,,,,
"PD4PM","20191228","1803",,"10M","FT8","-11","","Y","E","Y","JO23XE",,,,,,,,,,,,,,,,,,,,"Thnx for contanct, best 73's PD4PM Pier",
"OZ4ACK","20191228","1805",,"10M","FT8","-10","","Y","E","Y","JO65FR",,,,,,,,,,,,,,,,,,,,,
"PA2DX","20191228","1810",,"6M","FT8","-15","","Y","E","Y","jo23xe",,,,,,,,,,,,,,,,,,,,"TNX qso 73's Kees 50w / 3 elm lfa",
"RA2FCD","20191228","1817",,"10M","FT8","-02","","Y","E",,"ko04cw",,,"EU-RSQ-AND-SN",,,,,,,,,,,,,,,,,,
"OH1EDK","20191228","1839",,"10M","FT8","09","","Y","E","Y","KP01WL",,,,,,,,,,,,,,,,,,,,,
"SV9RNG","20191229","1014",,"20M","FT8","+00","","Y","E","Y","KM25UD",,,,,,,,,,,,,,,,,,,,,
"YL2NX","20191229","1029",,"30M","FT8"," 07","","Y","E","Y","KO27EJ",,,,,,,,,,,,,,,,,,,,,
"CU3HN","20191229","1544",,"17M","FT8","-06","","Y","E",,"HM68JP",,,,,,,,,,,,,,,,,,,,,
"KC3ACQ","20191229","1601",,"20M","FT8","-06","","Y","E",,"FN20lc",,,,,,,,,,,,,,,,,,,,,
"WB9VGJ","20191229","1608",,"20M","FT8","-14","","Y","E","Y","DM34tq",,,,,,,,,,,,,,,,,,,,,"100.0000"
"RM5W","20191229","1819",,"40M","CW","599","","Y","E","Y","ko81cs",,,,,,,,,,,,,,,,,,,,,
"KD0VJO","20191230","1532",,"20M","FT8","-24","","Y","E","Y","EM48ul",,,,,,,,,,,,,,,,,,,,,"20.0000"
"WE9V","20191230","1543",,"17M","FT8","-06","","Y","E","Y","EN52xn",,,,,,,,,,,,,,,,,,,,,
"WD4GZW","20191230","1545",,"17M","FT8","-11","","Y","E","Y","EM76fd",,,,,,,,,,,,,,,,,,,,"Tnx for QSO",
"KA0UNB","20191230","1556",,"20M","FT8","-15","","Y","E","Y","EN11",,,,,,,,,,,,,,,,,,,,,"73.0000"
"KC1ERO","20191230","1607",,"20M","FT8"," 00","","Y","E","Y","FN31no",,,,,,,,,,,,,,,,,,,,"#",
"OH5KT","20191230","1759",,"20M","FT8","+03","","Y","E","Y","KP30JS",,,,,,,,,,,,,,,,,,,,,
"WE9V","20191230","1804",,"20M","FT8","-15","","Y","E","Y","EN52xn",,,,,,,,,,,,,,,,,,,,,
"VK7AC","20191230","1954",,"40M","FT8","-20","","Y","E","Y","QE38mp",,,,,,,,,,,,,,,,,,,,,
"WE9V","20191230","2010",,"40M","FT8","-06","","Y","E","Y","EN52xn",,,,,,,,,,,,,,,,,,,,,
"WA1SAZ","20191230","2038",,"40M","FT8","-15","","Y","E","Y","FN54kf",,,,,,,,,,,,,,,,,,,,,
"5B4AAB","20191231","1403",,"17M","FT8","+04","","Y","E","Y","KM64EU",,,,,,,,,,,,,,,,,,,,,
"R9JZ","20191231","1456",,"40M","FT8","-10","","Y","E","Y","MP80gw",,,,,,,,,,,,,,,,,,,,"You WKD with FT8  SENT: -10  RCVD: -08 . PSE QSL TU 73!.",
"R0WBG","20191231","1458",,"40M","FT8","-18","","Y","E","Y","NO53",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"VK2PW","20200101","1235",,"20M","FT8","-10","","Y","E","Y","QF56ne",,,,,,,,,,,,,,,,,,,,"Thank you for the QSO best DX to you 73",
"EI9IB","20200101","1811",,"80M","FT8","","","Y","E","Y","IO63OC",,,,,,,,,,,,,,,,,,,,,
"SP2EWQ","20200101","1818",,"80M","FT8","+01","","Y","E","Y","JO93fn",,,,,,,,,,,,,,,,,,,,,
"WA1ZDA","20200101","1828",,"40M","FT8","599","","Y","E","Y","FN54LD",,,,,,,,,,,,,,,,,,,,"1320 foot LW ant 200W TS-590 Tnx 73",
"Z35Z","20200102","1756",,"80M","FT8","18","","Y","E","Y","KN11CR",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"M6JVJ","20200102","1804",,"80M","FT8","-10","","Y","E","Y",,,,,,,,,,,,,,,,,,,,,,
"R6H-212","20200102","1805",,"80M","FT8","-11","","Y","E","Y","LN05UJ",,,,,,,,,,,,,,,,,,,,"M6JVJ",
"IS0YHV","20200102","1812",,"40M","FT8","-11","","Y","E","Y","JM49LG",,,,,,,,,,,,,,,,,,,,"TNX FOR QSO 73 Antonio",
"OL10CWO","20200102","1854",,"80M","CW","599","","Y","E","Y",,,,,,,,,,,,,,,,,,,,,,
"R6AC","20200103","1417",,"17M","FT8","-10","","Y","E","Y","LN05NA",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"CR7AUJ","20200103","1418",,"17M","FT8","-10","","Y","E","Y","IM57xe",,,,,,,,,,,,,,,,,,,"Many thks for QSO...FT8...17m...73?<",,
"F5NLX/P","20200103","1425",,"40M","CW","599","","Y","E",,"JN35OI",,,,,,,,,,,,,,,,,,,,"FFF 1013  BEST 73 / 44",
"CT1HMN","20200103","1433",,"12M","FT8","-03","","Y","E","Y","IM58nn",,,,,,,,,,,,,,,,,,,,,
"PA7EY","20200103","1436",,"10M","FT8","-12","","Y","E",,"JO22JJ",,,,,,,,,,,,,,,,,,,,,
"NS2R","20200103","1506",,"20M","MFSK","-08","","Y","E","Y","EM89br",,,,,,,,,,,,,,,,,,,,,
"UX8ZA","20200103","1507",,"20M","MFSK","-16","","Y","E","Y","KN66AU",,,,,,,,,,,,,,,,,,,,,
"EB3JT","20200103","1508",,"20M","MFSK","-14","","Y","E","Y","JN01UI",,,,,,,,,,,,,,,,,,,,,"100.0000"
"EB3JT","20200103","1508",,"20M","MFSK","-14","","Y","E","Y","JN01UI",,,,,,,,,,,,,,,,,,,,,"100.0000"
"K4KE","20200103","1509",,"20M","MFSK","-03","","Y","E",,"em79bc",,,,,,,,,,,,,,,,,,,,,
"EA4HAI","20200103","1511",,"20M","MFSK","-10","","Y","E","Y","im68mu",,,,,,,,,,,,,,,,,,,,,
"K8KWT","20200104","1414",,"20M","FT8","-11","","Y","E","Y","EN72eu",,,,,,,,,,,,,,,,,,,,,"100.0000"
"KW4SP","20200104","1429",,"20M","FT8","-06","","Y","E","Y","em64nm",,,,,,,,,,,,,,,,,,,,,
"N1RJK","20200104","1436",,"20M","FT8","-04","","Y","E","Y","FM29nd",,,,,,,,,,,,,,,,,,,,"73's DE N1RJK",
"K6YES","20200104","1444",,"20M","FT8","-14","","Y","E","Y","DM13",,,,,,,,,,,,,,,,,,,,"Nice QSO!  73s, Pablo (K6YES).","100.0000"
"N7HQ","20200104","1451",,"20M","FT8","599","","Y","E","Y","EM10cr",,,,,,,,,,,,,,,,,,,,"TNX",
"TG9IN","20200104","1454",,"20M","FT8","-15","","Y","E","Y","EK44",,,,,,,,,,,,,,,,,,,,,
"N6LZ","20200104","1521",,"20M","MFSK","-07","","Y","E","Y","DM13bq",,,,,,,,,,,,,,,,,,,,"Thank You 73 Rob",
"E75CV","20200104","1727",,"17M","FT8","+01","","Y","E",,"JN93DT",,,,,,,,,,,,,,,,,,,,,"0.1000"
"IS0YHV","20200104","1739",,"20M","FT8","-07","","Y","E","Y","JM49LG",,,,,,,,,,,,,,,,,,,,"TNX FOR QSO 73 Antonio",
"SV9BMG","20200105","1014",,"17M","FT8","-09","","Y","E","Y","KM25ua",,,,,,,,,,,,,,,,,,,,,
"A45XR","20200105","1154",,"17M","FT8","-04","","Y","E","Y","LL93do",,,,,,,,,,,,,,,,,,,,,
"MM1AWV","20200105","1155",,"17M","FT8","-01","","Y","E","Y","IO75",,,,,,,,,,,,,,,,,,,,,
"R1CA/P","20200105","1207",,"40M","CW","599","","Y","E","Y","KO49NV",,,,,,,,,,,,,,,,,,,,"RC-151 & RC-153 / LO-24",
"R1CA/P","20200105","1208",,"40M","CW","599","","Y","E","Y","KO49NV",,,,,,,,,,,,,,,,,,,,"RC-151 & RC-153 / LO-24",
"OL10CWO","20200105","1748",,"40M","CW","599","","Y","E","Y",,,,,,,,,,,,,,,,,,,,,,
"EV1P","20200106","1741",,"10M","FT8","-11","","Y","E","Y","KO33TU",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"RA3WEO","20200106","1743",,"10M","FT8","-06","","Y","E","Y","KO72WC",,,,,,,,,,,,,,,,,,,,,
"RU4CM","20200106","1744",,"10M","FT8","10","","Y","E",,"LO42BL",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"K0BLT","20200107","1826",,"20M","FT8","-13","","Y","E","Y","DN81kq",,,,,,,,,,,,,,,,,,,,,
"OY1DZ","20200107","1829",,"20M","FT8","+02","","Y","E","Y","IP62OA",,,,,,,,,,,,,,,,,,,,,
"K3ABE","20200107","1834",,"20M","FT8","-11","","Y","E","Y","FN20fq",,,,,,,,,,,,,,,,,,,,"FT8 Sent: -11 Rcvd: -16",
"GM7TFN","20200107","1834",,"40m","FT8","+02","","Y","E","Y","IO75MW",,,,,,,,,,,,,,,,,,,,,
"K2MFW","20200107","1844",,"20M","FT8","-12","","Y","E","Y","FM29LJ",,,,,,,,,,,,,,,,,,,,,
"PY7PX","20200109","2151",,"30M","FT8","-16","","Y","E","Y","HI22NA",,,,,,,,,,,,,,,,,,,,,"35.0000"
"PY4OY","20200109","2157",,"40M","FT8","-12","","Y","E","Y","GG78gk",,,,,,,,,,,,,,,,,,,,,
"R6H-212","20200110","1422",,"17M","FT8","-8","","Y","E","Y","LN05UJ",,,,,,,,,,,,,,,,,,,,"ZB2TT",
"Z35T","20200110","1424",,"17M","FT8","-12","","Y","E","Y","KN11CS",,,,,,,,,,,,,,,,,,,,,
"VA3LKI","20200110","1433",,"20M","MFSK","+02","","Y","E","Y","FN04cr",,,,,,,,,,,,,,,,,,,,"FT4  Sent: +02  Rcvd: -07",
"E73DN","20200110","1438",,"20M","MFSK","-16","","Y","E","Y","JN93EU",,,,,,,,,,,,,,,,,,,,,
"YL2QV","20200110","1817",,"20M","FT8","-14","","Y","E","Y","KO26WM",,,,,,,,,,,,,,,,,,,,,
"E24OYI","20200111","0948",,"15M","FT8","-23","","Y","E","Y","OK03ft",,,,,,,,,,,,,,,,,,,,,
"IS0YHV","20200111","1446",,"17M","FT8","-13","","Y","E","Y","JM49LG",,,,,,,,,,,,,,,,,,,,"TNX FOR QSO 73 Antonio",
"HA7TM","20200111","1450",,"15M","FT8","-01","","Y","E","Y","JN97KK",,,,,,,,,,,,,,,,,,,,,
"SM2OTU","20200111","1505",,"30M","FT8","+07","","Y","E","Y","KP16OR",,,,,,,,,,,,,,,,,,,,"Thanks for QSO. 73 de Conny",
"SQ9UM","20200111","1518",,"17M","FT8","+01","","Y","E","Y","JO90HI",,,,,,,,,,,,,,,,,,,,,
"OE5WRO","20200111","1722",,"17M","FT8"," 02","","Y","E","Y","jn67tp",,,,,,,,,,,,,,,,,,,,"Tnx for QSO, 73 de Wolfgang ""Wolf"" OE5WRO",
"OE5ENL","20200111","1722",,"17M","FT8"," 18","","Y","E",,"JN68RB",,,,,,,,,,,,,,,,,,,,,
"W5DXQ","20200111","1729",,"15M","FT8","-21","","Y","E","Y","EM13",,,,,,,,,,,,,,,,,,,,"FT8 Sent: -21 Rcvd: -19",
"OE5ENL","20200111","1732",,"15M","FT8"," 00","","Y","E",,"JN68RB",,,,,,,,,,,,,,,,,,,,,
"PT2VHF","20200111","1749",,"15M","FT8","-02","","Y","E",,"GH64CD",,,,,,,,,,,,,,,,,,,,"FT8  Sent: -02  Rcvd: -01",
"PA3FMP","20200112","1049",,"15M","FT8","-04","","Y","E","Y","JO22im",,,,,,,,,,,,,,,,,,,,"TNX QSO it's For More Pleasure, 73 from Dirk",
"EV1R","20200112","1051",,"15M","FT8","-03","","Y","E","Y","KO33uv",,,,,,,,,,,,,,,,,,,,,
"LZ1LZ","20200112","1054",,"15M","FT8","-15","","Y","E","Y","KN12PQ",,,,,,,,,,,,,,,,,,,,,
"UR5FLN","20200112","1056",,"15M","FT8","-04","","Y","E","Y","KN56IK",,,,,,,,,,,,,,,,,,,,"Thanks for QSO, all the best, GL GdDxs! 73!",
"YO8SEP","20200112","1107",,"10M","FT8","+12","","Y","E","Y","KN36rt",,,,,,,,,,,,,,,,,,,,,
"N1NK","20200112","1523",,"15M","FT8","-02","","Y","E","Y","FN41",,,,,,,,,,,,,,,,,,,,,
"W1ATV","20200112","1818",,"20M","FT8"," 00","","Y","E","Y","FN31om",,,,,,,,,,,,,,,,,,,,,
